PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
090007  00002,1973,25,3,FR,Y,MEMPHIS
090002  00165,1990,25,3,FR,NA,MEMPHIS
090002  00272,1971,25,3,FR,Y,MEMPHIS
090002  00171,1990,25,3,FR,NA,MEMPHIS
090002  00166,1992,25,3,FR,Y,MEMPHIS
090002  00170,1990,25,3,FR,NA,MEMPHIS
090009  00005,1990,25,3,FR,NA,MEMPHIS
090007  00033,1974,25,3,FR,Y,MEMPHIS
090002  00167,1990,25,3,FR,NA,MEMPHIS
090009  00004,1989,30,3,AV,Y,MEMPHIS
090002  00169,1974,25,3,FR,Y,MEMPHIS
090009  00003,1974,25,3,FR,Y,MEMPHIS
090002  00266,1974,25,3,FR,Y,MEMPHIS
090009  00002,1974,25,3,FR,Y,MEMPHIS
090007  00026,1972,25,3,FR,Y,MEMPHIS
090002  00160,1990,25,3,FR,NA,MEMPHIS
090009  00009,1974,25,3,FR,Y,MEMPHIS
090007  00032,1974,25,3,FR,Y,MEMPHIS
090007  00028,1972,25,3,FR,Y,MEMPHIS
090002  00168,1974,25,3,FR,Y,MEMPHIS
090002  00159,1992,25,3,FR,N,MEMPHIS
090002  00158,1991,25,3,FR,Y,MEMPHIS
090002  00269,1971,25,3,FR,Y,MEMPHIS
090002  00157,1991,25,3,FR,Y,MEMPHIS
090002  00268,1971,25,3,FR,Y,MEMPHIS
090007  00031,1974,25,3,FR,Y,MEMPHIS
090009  00010,1974,25,3,FR,Y,MEMPHIS
090002  00275,1971,25,3,FR,Y,MEMPHIS
D0147   00235C,1947,30,3,AV,Y,SHELBY COUNTY
090009  00014,1971,25,3,FR,Y,MEMPHIS
090009  00013,1971,25,3,FR,Y,MEMPHIS
090009  00015,1971,25,3,FR,Y,MEMPHIS
090009  00016,1971,25,3,FR,Y,MEMPHIS
090007  00010,1990,25,3,FR,NA,MEMPHIS
090009  00012,1971,25,3,FR,Y,MEMPHIS
090007  00025,1975,25,3,AV,Y,MEMPHIS
090002  00155,1974,25,3,FR,Y,MEMPHIS
090007  00011,1992,25,3,FR,Y,MEMPHIS
090007  00012,1980,25,3,FR,Y,MEMPHIS
090002  00276,1971,25,3,FR,Y,MEMPHIS
090007  00023,1972,25,3,FR,Y,MEMPHIS
090010  00003,1971,25,3,FR,Y,MEMPHIS
090010  00006,1971,25,3,FR,Y,MEMPHIS
090007  00013,1991,25,3,FR,NA,MEMPHIS
090007  00022,1972,25,3,FR,Y,MEMPHIS
D0147   00219,1985,25,3,FR,Y,SHELBY COUNTY
090002  00153,1990,25,3,FR,NA,MEMPHIS
090002  00364,1909,30,3,FR,Y,MEMPHIS
090007  00021,1972,25,3,VP,Y,MEMPHIS
090010  00010,1971,25,3,FR,Y,MEMPHIS
090006  00002,1972,25,3,FR,Y,MEMPHIS
090010  00011,1971,25,3,FR,Y,MEMPHIS
090002  00278,1971,25,3,FR,Y,MEMPHIS
090010  00012,1971,25,3,FR,Y,MEMPHIS
090002  00152,1972,25,3,FR,Y,MEMPHIS
090006  00004,1972,25,3,FR,Y,MEMPHIS
090007  00020,1972,25,3,FR,Y,MEMPHIS
090007  00015,1991,25,3,FR,Y,MEMPHIS
090010  00021,1970,25,3,FR,Y,MEMPHIS
090010  00018,1970,25,3,FR,Y,MEMPHIS
090010  00074,1971,25,3,FR,Y,MEMPHIS
090010  00017,1971,25,2,VP,Y,MEMPHIS
090002  00279,1971,25,3,FR,Y,MEMPHIS
090006  00006,1972,25,3,FR,Y,MEMPHIS
090007  00016,1972,25,3,FR,Y,MEMPHIS
090010  00015,1971,25,3,FR,Y,MEMPHIS
090010  00013,1971,25,3,FR,Y,MEMPHIS
090006  00014,1972,25,3,FR,Y,MEMPHIS
090010  00073,1971,25,3,FR,Y,MEMPHIS
090007  00017,1972,25,3,FR,Y,MEMPHIS
090002  00280,1971,25,3,FR,Y,MEMPHIS
090006  00026,1971,25,3,FR,Y,MEMPHIS
090006  00013,1972,25,3,FR,Y,MEMPHIS
090007  00018,1972,25,3,FR,Y,MEMPHIS
090006  00008,1973,25,3,FR,Y,MEMPHIS
090010  00072,1971,25,3,FR,Y,MEMPHIS
090002  00151,1972,25,3,FR,Y,MEMPHIS
090002  00281,1971,25,3,FR,Y,MEMPHIS
090006  00025,1971,25,3,FR,Y,MEMPHIS
090010  00024,1971,25,3,FR,Y,MEMPHIS
